,property_id,address,property_name,description,num_bedroom,num_bathroom,area_size,price,transaction_type,property_type,parking,laundry,furnished,pet_friendly,latitude,longitude,build_year,smoking_allowed,air_conditioning,hardwood_floors,balcony
73,344534,1665 & 1671 Jamha Road,NEW 2 Bedroom Air Conditioned Apartments in South East Edmonton - Millwoods,1665 & 1671 Jamha Road,2,1,798,1675,Rent,Apartment,underground,in_suite,True,True,53.4845786,-113.4124841,2000-01-01,False,True,False,True
74,340737,2315 / 2319 Maple Road,"Newer Building w/ Elevator, In Suite Laundry, Dishwasher; Balcony in The Meadows Community!",2315 / 2319 Maple Road,2,1,895,1650,Rent,Apartment,covered,shared,False,True,53.4766816,-113.361518,2000-01-01,False,False,True,True
75,466211,2610 109 Street Northwest,Luxury Apartments in Century Park,2610 109 Street Northwest,1,1,525,1450,Rent,Apartment,garage,in_suite,True,True,53.457381385213,-113.51214651237,2000-01-01,False,True,False,True
76,419725,789 Tamarack Way NW,Resort-Style Apartments: Now Open!,789 Tamarack Way NW,1,1,532,1295,Rent,Apartment,outdoor,shared,False,True,53.4789297,-113.3646865,2000-01-01,False,False,True,True
77,510464,10001 Bellamy Hill,Apartments for Rent Downtown Edmonton ,10001 Bellamy Hill,2,2,1036,1499,Rent,Apartment,garage,shared,False,True,53.5384991,-113.4943113,2000-01-01,False,True,False,False
78,530057,11128 82 Avenue NW,Pet-friendly Lofts by Whyte Ave and University,11128 82 Avenue NW,studio,1,0,1348,Rent,Apartment,covered,in_suite,True,True,53.5184387,-113.5192112,2023-08-01,False,True,True,True
79,523497,8409 112 Street NW,The Galen Lofts,8409 112 Street NW,1,1,0,1645,Rent,Apartment,underground,shared,True,False,53.5203925,-113.5206111,2023-08-01,False,True,False,False
80,524792,2815 109 A Street,"BRAND-NEW, Spacious, Luxury Rental Suites!  ",2815 109 A Street,1,1,1025,1350,Rent,Apartment,outdoor,shared,False,True,53.458258605173,-113.51023018916,2023-08-01,False,False,False,False
81,482131,1332 Watt Drive Southwest,Essential Aurora Townhomes in SW Edmonton - Move In Bonuses On Select Units!,1332 Watt Drive Southwest,3,2.5,1274,1850,Rent,Townhouse,outdoor,shared,False,True,53.4148178,-113.431259,2023-08-15,False,True,True,False
82,523499,11703 51 Avenue NW,Edgeway,11703 51 Avenue NW,2,2.5,1031,1727,Rent,Townhouse,covered,in_suite,False,True,53.4874458,-113.5347987,2023-09-01,False,False,False,True
83,278452,1776 Cunningham Way Southwest,Callaghan Landing II - 2 & 3 Bedroom Townhomes For Rent - Move In Bonuses On Select Units!,1776 Cunningham Way Southwest,3,2.5,1271,1850,Rent,Townhouse,covered,shared,False,True,53.40701,-113.5300657,2023-09-20,False,True,True,True
84,527448,4008 Savaryn Drive Southwest,4008 Savaryn Drive Southwest,4008 Savaryn Drive Southwest,2.5,2,1144,2250,Rent,Condo Unit,outdoor,shared,False,True,53.4110907,-113.4586857,2000-01-01,False,False,True,True
85,510599,1328 PODERSKY WYND SW EDMONTON AB T6W 5E4,1328 PODERSKY WYND SW EDMONTON AB T6W 5E4,1328 PODERSKY WYND SW EDMONTON AB T6W 5E4,3,2.5,1420,1800,Rent,House,covered,shared,False,True,53.412066529734,-113.558271277734,2000-01-01,False,False,True,True
86,532310,10118 95 Street,10118 95 Street,10118 95 Street,2,2,,1500,Rent,Condo Unit,underground,shared,True,False,53.5437935,-113.4783569,2000-01-01,False,True,False,False
87,530644,6608 106 Street,6608 106 Street,6608 106 Street,2.5,1.5,960,1850,Rent,Duplex,garage,shared,True,False,53.5033872,-113.5047279,2000-01-01,False,True,True,True
